sms,amount,transaction_type,bank,merchant,account,date,reference,category
Rs 5397.12 received to Flipkart from your A/c x5547 on 19/08/2023. Ref 9739686522,5397.12,received,SBI,Flipkart,x5547,19/08/2023,9739686522,Grocery
Rs 8341.74 credited to Swiggy from your A/c x2349 on 23/03/2023. Ref 5239031075,8341.74,credited,HDFC,Swiggy,x2349,23/03/2023,5239031075,Food
Rs 4862.15 debited to BigBasket from your A/c x8444 on 27/11/2023. Ref 6495067050,4862.15,debited,Kotak,BigBasket,x8444,27/11/2023,6495067050,Transport
Rs 7540.31 credited to Uber from your A/c x7942 on 15/11/2023. Ref 1479491181,7540.31,credited,HDFC,Uber,x7942,15/11/2023,1479491181,Shopping
Rs 1379.19 debited to Swiggy from your A/c x5517 on 11/11/2023. Ref 3294565161,1379.19,debited,HSBC,Swiggy,x5517,11/11/2023,3294565161,Food
Rs 4875.12 sent to Zomato from your A/c x1127 on 13/08/2023. Ref 9213995937,4875.12,sent,Axis,Zomato,x1127,13/08/2023,9213995937,Food
Rs 5972.88 credited to Zomato from your A/c x5788 on 03/10/2024. Ref 1343207900,5972.88,credited,HDFC,Zomato,x5788,03/10/2024,1343207900,Food
Rs 2888.61 sent to Flipkart from your A/c x7821 on 17/10/2024. Ref 6486843935,2888.61,sent,Kotak,Flipkart,x7821,17/10/2024,6486843935,Grocery
Rs 4528.09 sent to Swiggy from your A/c x1891 on 16/03/2023. Ref 5298233836,4528.09,sent,Kotak,Swiggy,x1891,16/03/2023,5298233836,Food
Rs 1099.95 received to Uber from your A/c x8815 on 09/06/2023. Ref 6373973611,1099.95,received,SBI,Uber,x8815,09/06/2023,6373973611,Shopping
Rs 1979.12 sent to Amazon from your A/c x6820 on 27/01/2025. Ref 2117327220,1979.12,sent,HDFC,Amazon,x6820,27/01/2025,2117327220,Shopping
Rs 8442.76 credited to Uber from your A/c x4277 on 19/11/2023. Ref 1287913568,8442.76,credited,Kotak,Uber,x4277,19/11/2023,1287913568,Shopping
Rs 1178.67 credited to Swiggy from your A/c x3978 on 11/11/2024. Ref 7140049944,1178.67,credited,Kotak,Swiggy,x3978,11/11/2024,7140049944,Food
Rs 8004.67 received to Swiggy from your A/c x4597 on 16/04/2023. Ref 7310281477,8004.67,received,HDFC,Swiggy,x4597,16/04/2023,7310281477,Food
Rs 8741.18 credited to Zomato from your A/c x5513 on 29/04/2024. Ref 9944670630,8741.18,credited,ICICI,Zomato,x5513,29/04/2024,9944670630,Food
Rs 9067.05 credited to Flipkart from your A/c x7366 on 06/11/2023. Ref 4838559731,9067.05,credited,HDFC,Flipkart,x7366,06/11/2023,4838559731,Grocery
Rs 5837.51 sent to Uber from your A/c x3980 on 16/02/2024. Ref 7790715041,5837.51,sent,HDFC,Uber,x3980,16/02/2024,7790715041,Shopping
Rs 8944.14 received to BigBasket from your A/c x4505 on 07/12/2024. Ref 7465540871,8944.14,received,SBI,BigBasket,x4505,07/12/2024,7465540871,Transport
Rs 8110.03 sent to Zomato from your A/c x7996 on 24/02/2025. Ref 2867758638,8110.03,sent,HSBC,Zomato,x7996,24/02/2025,2867758638,Food
Rs 6409.04 credited to Flipkart from your A/c x9733 on 25/05/2023. Ref 2539381138,6409.04,credited,Kotak,Flipkart,x9733,25/05/2023,2539381138,Grocery
Rs 6779.54 credited to BigBasket from your A/c x5611 on 19/02/2025. Ref 7492730980,6779.54,credited,HDFC,BigBasket,x5611,19/02/2025,7492730980,Transport
Rs 5490.99 received to Amazon from your A/c x1929 on 03/08/2023. Ref 2167207897,5490.99,received,HDFC,Amazon,x1929,03/08/2023,2167207897,Shopping
Rs 6385.39 debited to Swiggy from your A/c x6419 on 10/11/2023. Ref 7228692441,6385.39,debited,HSBC,Swiggy,x6419,10/11/2023,7228692441,Food
Rs 7420.69 credited to BigBasket from your A/c x1982 on 14/01/2024. Ref 1061357982,7420.69,credited,Axis,BigBasket,x1982,14/01/2024,1061357982,Transport
Rs 8591.38 sent to Zomato from your A/c x4125 on 14/12/2024. Ref 2981571211,8591.38,sent,Kotak,Zomato,x4125,14/12/2024,2981571211,Food
Rs 8790.55 debited to Amazon from your A/c x9238 on 11/08/2024. Ref 9123644189,8790.55,debited,ICICI,Amazon,x9238,11/08/2024,9123644189,Shopping
Rs 9485.66 received to Swiggy from your A/c x1680 on 28/04/2023. Ref 8286965054,9485.66,received,ICICI,Swiggy,x1680,28/04/2023,8286965054,Food
Rs 1473.75 debited to Zomato from your A/c x9986 on 17/08/2023. Ref 2970011535,1473.75,debited,SBI,Zomato,x9986,17/08/2023,2970011535,Food
Rs 979.6 debited to Amazon from your A/c x5878 on 22/11/2024. Ref 6605254172,979.6,debited,SBI,Amazon,x5878,22/11/2024,6605254172,Shopping
Rs 8793.87 received to Amazon from your A/c x7300 on 01/12/2023. Ref 2943488403,8793.87,received,ICICI,Amazon,x7300,01/12/2023,2943488403,Shopping
Rs 8119.99 debited to BigBasket from your A/c x6154 on 11/05/2023. Ref 5109966116,8119.99,debited,Kotak,BigBasket,x6154,11/05/2023,5109966116,Transport
Rs 2774.87 sent to Uber from your A/c x7485 on 25/12/2024. Ref 7841949241,2774.87,sent,Axis,Uber,x7485,25/12/2024,7841949241,Shopping
Rs 2647.11 credited to Flipkart from your A/c x2090 on 06/12/2024. Ref 6485598917,2647.11,credited,HDFC,Flipkart,x2090,06/12/2024,6485598917,Grocery
