transaction_type
debit
credit
purchase
payment
withdrawal
deposit
transfer
refund
reversal
cash withdrawal
card swipe
online transaction
UPI payment
NEFT transfer
RTGS transfer
IMPS transfer
bill payment
subscription
EMI payment
loan disbursement
fee collection
salary credit
interest credit
cashback
reward points
investment
mutual fund
fixed deposit
recurring deposit
tax payment
international transaction
forex transaction
contactless transaction
mobile banking
net banking
phone banking
ATM transaction
point of sale
pos transaction 
